timestamp,temperature,humidity,pressure,wind_speed,rainfall
2026-09-05 03:02:57.896881,28.4,73.73,1009.92,12.95,0.0
2026-09-05 03:07:57.896881,28.02,73.55,1009.94,12.36,0.0
2026-09-05 03:12:57.896881,28.78,69.44,1009.94,2.33,0.0
2026-09-05 03:17:57.896881,29.61,73.75,1010.21,5.74,0.0
2026-09-05 03:22:57.896881,28.34,76.85,1009.76,8.31,0.0
2026-09-05 03:27:57.896881,28.47,70.74,1009.69,37.93,0.0
2026-09-05 03:32:57.896881,30.05,77.62,1010.37,6.11,0.0
2026-09-05 03:37:57.896881,29.53,75.85,1009.82,3.89,0.0
2026-09-05 03:42:57.896881,28.67,72.1,1009.54,2.8,0.0
2026-09-05 03:47:57.896881,29.6,73.8,1009.81,2.25,0.0
2026-09-05 03:52:57.896881,28.93,78.93,1009.9,38.81,0.0
2026-09-05 03:57:57.896881,29.05,76.25,1010.51,11.67,0.0
2026-09-05 04:02:57.896881,29.75,73.99,1010.26,4.37,0.0
2026-09-05 04:07:57.896881,28.15,73.17,1010.3,24.88,0.0
2026-09-05 04:12:57.896881,28.42,74.03,1010.24,32.67,0.85
2026-09-05 04:17:57.896881,29.48,72.18,1010.28,4.55,0.0
2026-09-05 04:22:57.896881,29.24,67.32,1009.74,7.09,0.0
2026-09-05 04:27:57.896881,30.43,79.68,1009.91,22.29,0.0
2026-09-05 04:32:57.896881,29.57,73.94,1009.64,16.77,0.0
2026-09-05 04:37:57.896881,29.29,74.58,1009.96,8.94,0.0
2026-09-05 04:42:57.896881,31.71,73.14,1010.31,22.7,0.0
2026-09-05 04:47:57.896881,30.47,71.03,1010.17,2.24,0.0
2026-09-05 04:52:57.896881,30.82,72.6,1010.59,3.73,0.0
2026-09-05 04:57:57.896881,29.75,68.28,1009.86,5.46,0.0
2026-09-05 05:02:57.896881,30.56,79.83,1010.39,4.91,0.0
2026-09-05 05:07:57.896881,31.2,69.22,1009.94,1.01,0.26
2026-09-05 05:12:57.896881,30.3,69.75,1010.35,7.45,0.0
2026-09-05 05:17:57.896881,31.63,71.46,1010.54,15.13,0.0
2026-09-05 05:22:57.896881,30.96,76.57,1010.16,18.44,0.0
2026-09-05 05:27:57.896881,31.31,72.68,1010.39,17.44,0.0
2026-09-05 05:32:57.896881,31.17,68.86,1009.98,21.28,0.0
2026-09-05 05:37:57.896881,33.24,76.26,1009.81,13.91,0.0
